STATE,TYPE,FREQUENCY,COUNT_TYPE
ALABAMA,Both,1,1
ARIZONA,Alpine,1,1
ARIZONA,Both,3,3
CALIFORNIA,Alpine,10,10
CALIFORNIA,Both,40,40
CALIFORNIA,Cross-Country,1,1
COLORADO,Alpine,5,5
COLORADO,Both,39,39
CONNECTICUT,Alpine,1,1
CONNECTICUT,Both,6,6
GEORGIA,Both,1,1
IDAHO,Alpine,1,1
IDAHO,Both,23,23
ILLINOIS,Both,5,5
INDIANA,Both,4,4
IOWA,Both,5,5
MAINE,Both,15,15
MARYLAND,Both,1,1
MASSACHUSETTS,Alpine,7,7
MASSACHUSETTS,Both,24,24
MICHIGAN,Alpine,7,7
MICHIGAN,Both,50,50
MICHIGAN,Cross-Country,1,1
MINNESOTA,Both,19,19
MINNESOTA,Cross-Country,3,3
MISSOURI,Both,3,3
MONTANA,Alpine,16,16
MONTANA,Both,18,18
MONTANA,Cross-Country,4,4
NEVADA,Alpine,2,2
NEVADA,Both,6,6
NEW HAMPSHIRE,Alpine,7,7
NEW HAMPSHIRE,Both,40,40
NEW JERSEY,Alpine,1,1
NEW JERSEY,Both,3,3
NEW MEXICO,Alpine,14,14
NEW MEXICO,Both,9,9
NEW MEXICO,Cross-Country,6,6
NEW YORK,Alpine,4,4
NEW YORK,Both,51,51
NEW YORK,Cross-Country,3,3
OHIO,Both,7,7
OREGON,Alpine,3,3
OREGON,Both,18,18
PENNSYLVANIA,Both,47,47
RHODE ISLAND,Both,1,1
SOUTH DAKOTA,Alpine,1,1
SOUTH DAKOTA,Both,3,3
TENNESSEE,Both,1,1
UTAH,Alpine,1,1
UTAH,Both,17,17
VERMONT,Alpine,23,23
VERMONT,Both,38,38
VIRGINIA,Both,4,4
WASHINGTON,Both,11,11
WASHINGTON,Cross-Country,1,1
WEST VIRGINIA,Both,5,5
WISCONSIN,Alpine,2,2
WISCONSIN,Both,32,32
WYOMING,Alpine,3,3
WYOMING,Both,6,6
